pixel_row,pixel_col,labels,colours,types,symbols
1241.8771528,4458.80208973,point,cyan,point,disc
547.27520267,5571.46964481,B',#55ff00,front,x
407.311707,5217.56602448,B,#00aa00,back,x
1398.43257104,4105.67068367,C',#ff5500,front,x
1054.91736458,4083.25071514,C,#aa0000,back,x
1420.60685555,7057.13841692,D',#5500ff,front,x
1073.42405181,6349.22310964,D,#0000aa,back,x
