pixel_row,pixel_col,labels,colours,types,symbols
1513.9479341,4522.05154178,point,cyan,point,disc
353.51428451,5631.43486332,B',#55ff00,front,x
901.86361306,5273.77193882,B,#00aa00,back,x
1206.91574631,4175.58159963,C',#ff5500,front,x
1551.4374658,4145.4012863,C,#aa0000,back,x
1215.94063266,7113.32379595,D',#5500ff,front,x
1559.19637273,6401.92405786,D,#0000aa,back,x
