view,event,pixel_row,pixel_col,labels
1.0,0.0,1414.0792797834367,3668.4919177861566,C'
1.0,1.0,563.13304728,5126.15190679,B'
1.0,2.0,1427.87846858,6491.42811567,D
0.0,3.0,1398.43257104,4105.67068367,C'
1.0,3.0,1414.0792797834367,3668.4919177861566,C'
2.0,3.0,1206.91574631,4175.58159963,C'
0.0,4.0,547.27520267,5571.46964481,B'
1.0,4.0,563.13304728,5126.15190679,B'
2.0,4.0,353.51428451,5631.43486332,B'
0.0,5.0,1420.60685555,7057.13841692,D'
1.0,5.0,1425.5264684,6638.3405110339445,D'
2.0,5.0,1215.94063266,7113.32379595,D'
1.0,6.0,1414.0792797834367,3668.4919177861566,C'
1.0,6.0,563.13304728,5126.15190679,B'
1.0,6.0,1427.87846858,6491.42811567,D
